iter	Passed	Remaining
0	1	136
1	2	114
2	3	104
3	3	94
4	4	92
5	5	92
6	6	90
7	7	88
8	8	87
9	9	85
10	10	83
11	11	83
12	12	81
13	13	80
14	14	80
15	15	79
16	16	78
17	17	77
18	18	77
19	19	76
20	19	75
21	20	73
22	21	72
23	22	72
24	23	71
25	24	71
26	25	70
27	27	69
28	28	68
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	63
36	36	62
37	37	61
38	38	60
39	39	58
40	40	57
41	40	55
42	41	55
43	42	54
44	43	53
45	44	52
46	45	50
47	46	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	66	27
71	67	26
72	68	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	75	16
82	76	15
83	78	14
84	79	13
85	80	13
86	81	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
